scene_id,product_id,product_name,processing_level,platform,sensing_datetime,tile_id,cloud_cover,source,status
S2_L2A_20230907_UNKNOWN_a71c2847,a71c2847-733b-4db2-8ea6-0b6182c7d3c7,S2A_MSIL2A_20230907T100031_N0510_R122_T33TTG_20241025T114023,L2A,sentinel-2a,2023-09-07T10:00:31.024000Z,,0.0,CDSE,discovered
S2_L2A_20230907_UNKNOWN_34fef070,34fef070-ba06-449e-b116-354cf6e72a65,S2A_MSIL2A_20230907T100031_N0510_R122_T32TQM_20241025T114023,L2A,sentinel-2a,2023-09-07T10:00:31.024000Z,,0.0,CDSE,discovered
